n=41

l0,0=0,94,95,94,94,95,93,94,92,92,90,89,81,90,0,75,76,0,0,0,0,0,0,0,0,23,0,78,84,0,0,0,0,0,0,0,0,0,0,0,0
l1,0=93,0,95,95,94,96,98,54,64,94,54,90,59,90,83,87,0,0,0,0,0,0,0,0,0,65,0,0,51,0,0,0,0,0,0,0,0,21,0,0,0
l2,0=94,94,0,87,93,96,98,94,92,94,93,95,0,93,84,59,80,86,0,0,0,0,59,71,0,73,0,78,82,0,0,0,0,0,0,0,0,0,0,0,0
l3,0=94,94,95,0,95,95,97,94,78,92,87,87,75,91,82,0,50,0,0,0,0,0,0,0,0,52,0,85,82,0,0,0,0,0,0,0,0,61,0,0,0
l4,0=95,93,90,95,0,96,94,92,66,48,80,87,76,87,0,0,0,0,0,0,0,0,0,0,0,4,0,79,71,0,0,0,0,0,0,0,0,0,0,0,0
l5,0=95,94,95,91,95,0,97,55,64,93,90,77,80,89,71,84,0,80,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,75,24,0,0
l6,0=92,94,95,94,95,96,0,95,93,94,94,95,88,92,85,88,89,81,0,44,31,42,81,74,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
l7,0=93,79,95,75,95,93,98,0,93,94,94,95,89,93,72,82,0,47,26,0,31,32,52,25,21,35,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
l8,0=30,92,95,16,32,34,59,94,0,91,94,70,61,93,85,88,87,92,18,31,32,35,86,76,86,47,0,45,23,0,0,0,0,0,0,0,0,0,0,26,0
l9,0=92,94,95,88,27,95,98,95,93,0,94,95,88,93,78,80,86,89,14,9,0,59,3,72,82,38,0,29,30,0,0,0,0,0,0,0,0,0,0,29,25
l10,0=92,90,95,64,56,92,93,94,93,94,0,95,89,93,88,88,87,92,0,0,5,66,76,78,78,4,0,0,64,0,0,0,0,0,0,0,0,0,0,0,6
l11,0=55,94,95,62,94,58,98,95,68,94,94,0,88,93,88,88,81,89,23,7,30,0,86,0,12,9,0,32,19,0,0,0,0,0,0,0,0,0,0,9,22
l12,0=23,55,0,42,13,10,41,48,17,57,91,80,0,92,88,92,93,99,0,20,26,28,48,44,49,57,0,87,45,0,38,0,0,0,0,0,0,24,17,30,31
l13,0=0,50,74,28,0,0,53,19,52,45,52,76,90,78,0,92,96,95,0,0,0,76,70,67,0,75,23,93,75,18,8,14,0,0,20,31,38,82,35,29,33
l14,0=20,66,42,0,0,12,39,18,69,40,58,85,96,93,88,0,96,99,20,1,17,53,47,68,48,88,63,76,43,0,0,78,0,0,0,0,0,22,17,30,35
l15,0=17,0,65,0,0,0,54,0,66,49,58,37,93,77,88,90,0,99,55,29,35,90,93,86,78,30,0,51,0,22,0,0,26,0,0,21,21,83,23,33,31
