n=11

l0,0=0,100,100,0,0,0,0,0,0,0,0
l1,0=100,0,0,100,100,0,0,0,0,0,0
l2,0=100,0,0,100,100,100,100,100,0,0,0
l3,0=0,100,100,0,0,0,0,0,100,0,0
l4,0=0,100,100,0,0,0,0,0,100,0,0
l5,0=0,0,100,0,0,0,0,0,0,0,0
l6,0=0,0,100,0,0,0,0,0,0,0,0
l7,0=0,0,100,0,0,0,0,0,0,0,0
l8,0=0,0,0,100,100,0,0,0,0,100,100
l9,0=0,0,0,0,0,0,0,0,100,0,0
l10,0=0,0,0,0,0,0,0,0,100,0,0

l0,1=0,100,100,0,0,0,0,0,0,0,0
l1,1=90,0,0,100,100,0,0,0,0,0,0
l2,1=100,0,0,100,100,100,100,100,0,0,0
l3,1=0,100,100,0,0,0,0,0,100,0,0
l4,1=0,100,100,0,0,0,0,0,100,0,0
l5,1=0,0,100,0,0,0,0,0,0,0,0
l6,1=0,0,100,0,0,0,0,0,0,0,0
l7,1=0,0,100,0,0,0,0,0,0,0,0
l8,1=0,0,0,100,100,0,0,0,0,100,100
l9,1=0,0,0,0,0,0,0,0,100,0,0
l10,1=0,0,0,0,0,0,0,0,100,0,0

l0,2=0,0,0,0,0,0,0,0,0,0,0
l1,2=0,0,0,0,0,0,0,0,0,0,0
l2,2=0,0,0,0,0,0,0,0,0,0,0
l3,2=0,0,0,0,0,0,0,0,0,0,0
l4,2=0,0,0,0,0,0,0,0,0,0,0
l5,2=0,0,0,0,0,0,0,0,0,0,0
l6,2=0,0,0,0,0,0,0,0,0,0,0
l7,2=0,0,0,0,0,0,0,0,0,0,0
l8,2=0,0,0,0,0,0,0,0,0,0,0
l9,2=0,0,0,0,0,0,0,0,0,0,0
l10,2=0,0,0,0,0,0,0,0,0,0,0

l0,3=0,100,100,0,0,0,0,0,0,0,0
l1,3=100,0,0,100,100,0,0,0,0,0,0
l2,3=100,0,0,100,100,100,100,100,0,0,0
l3,3=0,100,100,0,0,0,0,0,100,0,0
l4,3=0,100,100,0,0,0,0,0,100,0,0
l5,3=0,0,100,0,0,0,0,0,0,0,0
l6,3=0,0,100,0,0,0,0,0,0,0,0
l7,3=0,0,100,0,0,0,0,0,0,0,0
l8,3=0,0,0,100,100,0,0,0,0,100,100
l9,3=0,0,0,0,0,0,0,0,100,0,0
l10,3=0,0,0,0,0,0,0,0,100,0,0

l0,4=0,100,100,0,0,0,0,0,0,0,0
l1,4=99,0,0,100,100,0,0,0,0,0,0
l2,4=100,0,0,100,100,100,100,100,0,0,0
l3,4=0,100,100,0,0,0,0,0,100,0,0
l4,4=0,100,100,0,0,0,0,0,100,0,0
l5,4=0,0,100,0,0,0,0,0,0,0,0
l6,4=0,0,100,0,0,0,0,0,0,0,0
l7,4=0,0,100,0,0,0,0,0,0,0,0
l8,4=0,0,0,100,100,0,0,0,0,100,100
l9,4=0,0,0,0,0,0,0,0,100,0,0
l10,4=0,0,0,0,0,0,0,0,100,0,0

q0=0
q1=1
q2=1
q3=1
q4=1
q5=1
q6=1
q7=1
q8=1
q9=1
q10=1
