n=41

l0,0=0,93,95,88,97,97,90,93,91,87,91,89,0,82,3,19,1,0,0,0,0,0,0,0,0,19,0,69,25,0,0,0,0,0,0,0,0,0,0,0,0
l1,0=98,0,92,88,96,97,91,87,84,87,91,91,14,67,40,14,16,0,0,0,0,0,0,0,0,3,0,10,14,0,0,0,0,0,0,0,0,10,0,0,0
l2,0=98,92,0,88,58,97,91,95,91,87,91,91,43,80,58,47,41,20,0,0,0,0,3,11,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0
l3,0=98,93,94,0,97,97,88,43,37,87,87,54,11,70,58,3,14,0,0,0,0,0,0,0,0,8,0,73,34,0,0,0,0,0,0,0,0,10,20,0,0
l4,0=98,93,80,88,0,97,57,72,84,66,77,73,19,23,24,0,0,0,0,0,0,0,0,0,0,13,0,11,36,0,0,0,0,0,0,0,0,0,0,0,0
l5,0=98,93,96,80,97,0,89,93,57,87,92,89,10,69,0,21,2,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,4,0,0
l6,0=86,93,96,88,53,97,0,96,89,87,92,91,73,76,58,46,70,11,0,64,38,7,26,52,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10
l7,0=93,93,94,20,93,97,91,0,91,87,92,91,86,83,20,30,13,7,19,0,36,5,17,5,0,2,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0
l8,0=49,15,13,0,21,36,57,68,0,86,92,7,0,82,39,59,46,25,2,26,20,11,53,25,21,19,0,0,3,0,0,0,0,0,0,0,0,0,0,6,6
l9,0=85,62,92,81,5,97,91,96,91,0,92,91,50,83,44,0,45,22,13,14,0,13,5,16,16,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2
l10,0=90,79,92,17,79,96,88,93,91,87,0,91,86,83,74,82,75,84,0,0,7,4,13,66,22,11,0,8,14,0,0,0,0,0,0,0,0,0,0,0,7
l11,0=94,93,96,8,92,97,91,96,0,87,92,0,87,84,38,82,20,21,17,2,24,0,28,0,2,1,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0
l12,0=5,12,6,3,11,29,9,14,2,36,32,13,0,82,48,83,69,87,0,24,22,8,18,12,15,8,0,24,29,0,6,0,0,0,0,0,0,39,8,31,17
l13,0=1,2,0,8,5,17,0,1,23,29,22,2,19,28,0,18,21,21,0,0,12,14,11,9,7,28,16,23,30,12,7,0,1,0,12,20,10,43,43,23,10
l14,0=2,11,6,0,7,31,9,8,86,1,26,21,88,84,74,0,74,87,32,0,19,18,13,17,15,74,13,23,28,0,0,14,0,0,0,0,0,24,11,5,9
l15,0=0,8,5,0,0,0,9,4,29,27,22,8,55,24,61,27,0,82,40,33,22,19,45,30,25,12,0,18,21,13,8,0,0,6,0,21,0,45,37,28,13
l16,0=0,0,3,0,0,26,6,8,27,27,27,9,66,42,43,43,73,0,31,30,19,19,36,28,14,18,26,22,31,0,6,34,0,0,0,0,2,45,25,24,22
l17,0=0,0,0,0,0,0,0,62,14,24,0,10,0,68,0,70,71,60,0,91,99,64,87,75,91,19,0,0,0,51,62,0,84,79,19,67,52,0,46,80,52
l18,0=0,0,0,0,0,0,77,0,68,2,0,0,6,68,0,0,62,59,91,0,88,79,67,72,92,0,26,0,0,29,72,33,0,6,0,43,28,0,0,36,3
l19,0=0,0,0,0,0,0,57,61,57,0,2,7,82,77,43,57,72,56,89,78,0,80,63,77,91,0,29,0,23,81,85,28,75,85,53,79,56,47,50,81,70
l20,0=0,0,0,0,0,0,0,1,16,20,2,0,0,7,32,39,53,42,34,88,99,0,90,77,63,12,100,0,10,32,43,35,11,0,3,35,12,37,40,67,73
l21,0=0,0,0,0,0,0,5,5,72,13,14,23,67,79,16,34,75,72,89,35,27,81,0,77,56,12,36,5,11,9,52,35,7,25,10,22,35,29,0,83,73
l22,0=0,0,4,0,0,0,12,2,66,19,49,0,2,66,18,60,74,71,75,82,100,81,90,0,69,11,7,1,0,71,49,21,4,32,16,29,44,19,31,81,73
l23,0=0,0,0,0,0,0,10,0,28,21,15,1,48,80,17,56,71,21,90,90,99,80,83,76,0,0,77,8,3,52,84,9,97,35,17,82,71,21,24,83,22
l24,0=23,1,0,14,7,23,0,0,0,0,2,2,24,30,57,13,18,15,0,0,0,0,0,0,0,1,54,0,76,21,24,32,11,0,27,22,33,40,47,12,0
l25,0=19,3,0,8,13,0,0,2,19,15,11,1,8,28,74,12,18,19,0,0,12,12,11,0,1,0,0,76,0,27,25,0,12,32,28,20,25,49,47,0,1
l26,0=0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,26,0,26,29,100,36,7,77,54,0,0,60,75,0,93,0,100,99,100,89,87,74,79,0,0
l27,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,29,31,39,32,33,19,26,76,60,72,55,90,0,44,100,99,100,89,87,74,79,16,2
l28,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,86,9,93,30,12,2,91,0,75,74,66,90,93,44,0,99,100,89,87,74,79,15,0
l29,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,64,27,89,1,23,33,25,27,0,10,49,90,93,90,100,0,100,89,87,72,76,13,0
l30,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,25,0,41,0,14,22,22,25,93,51,53,90,93,93,100,99,0,89,86,74,0,0,0
l31,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,34,0,33,28,35,35,21,9,32,0,0,44,44,90,93,0,100,99,79,0,87,74,79,12,2
l32,0=0,0,0,0,0,0,0,0,13,0,0,0,0,22,7,0,0,7,26,28,18,11,12,8,10,12,100,76,67,90,93,100,100,99,94,89,0,74,79,1,0
l33,0=0,5,0,0,0,30,0,0,6,0,0,0,8,23,25,12,18,17,0,0,20,13,11,9,8,32,99,25,56,36,93,99,29,38,38,73,87,0,79,0,1
l34,0=0,0,0,2,0,30,0,0,0,0,0,0,4,0,25,12,34,12,28,0,18,35,0,9,8,28,100,46,45,44,93,79,54,39,4,89,87,74,0,8,0
